epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
143,1029.12,0.06005,0.98329,1,0.05435,0.000371375,0.000371375,0.000371375
144,1036.31,0.0632,0.98153,1,0.05719,0.000365188,0.000365188,0.000365188
145,1043.43,0.0618,0.98241,1,0.05707,0.000359,0.000359,0.000359
146,1050.57,0.05318,0.98241,1,0.05848,0.000352812,0.000352812,0.000352812
147,1057.69,0.05369,0.98153,1,0.05303,0.000346625,0.000346625,0.000346625
148,1064.82,0.05088,0.98241,1,0.05177,0.000340438,0.000340438,0.000340438
149,1071.97,0.07615,0.97889,1,0.05736,0.00033425,0.00033425,0.00033425
150,1079.11,0.06014,0.97889,1,0.06097,0.000328063,0.000328063,0.000328063
151,1086.23,0.05689,0.97889,1,0.05649,0.000321875,0.000321875,0.000321875
152,1093.4,0.05392,0.97977,1,0.05244,0.000315687,0.000315687,0.000315687
153,1100.53,0.05852,0.98241,1,0.0495,0.0003095,0.0003095,0.0003095
154,1107.68,0.05186,0.98505,1,0.04051,0.000303313,0.000303313,0.000303313
155,1114.79,0.0466,0.98505,1,0.04048,0.000297125,0.000297125,0.000297125
156,1121.95,0.04837,0.98329,1,0.04298,0.000290937,0.000290937,0.000290937
157,1129.04,0.04555,0.98417,1,0.04484,0.00028475,0.00028475,0.00028475
158,1136.22,0.04773,0.97977,1,0.05032,0.000278562,0.000278562,0.000278562
159,1143.33,0.04796,0.98241,1,0.05488,0.000272375,0.000272375,0.000272375
160,1150.48,0.04934,0.98241,1,0.04811,0.000266187,0.000266187,0.000266187
161,1157.59,0.04876,0.98593,1,0.04312,0.00026,0.00026,0.00026
162,1164.74,0.05003,0.98417,1,0.04722,0.000253812,0.000253812,0.000253812
163,1171.84,0.04682,0.98417,1,0.0491,0.000247625,0.000247625,0.000247625
164,1178.99,0.03942,0.98153,1,0.05115,0.000241438,0.000241438,0.000241438
165,1186.11,0.05468,0.97801,1,0.05657,0.00023525,0.00023525,0.00023525
166,1193.29,0.04823,0.97889,1,0.0553,0.000229063,0.000229063,0.000229063
167,1200.39,0.04198,0.98329,1,0.04757,0.000222875,0.000222875,0.000222875
168,1207.6,0.03986,0.98505,1,0.0454,0.000216688,0.000216688,0.000216688
169,1214.73,0.04281,0.98593,1,0.04831,0.0002105,0.0002105,0.0002105
170,1221.86,0.03518,0.98329,1,0.04732,0.000204313,0.000204313,0.000204313
171,1228.98,0.03417,0.98593,1,0.0472,0.000198125,0.000198125,0.000198125
172,1236.16,0.04392,0.98593,1,0.04312,0.000191938,0.000191938,0.000191938
173,1243.31,0.0379,0.98593,1,0.04303,0.00018575,0.00018575,0.00018575
174,1250.54,0.0374,0.98329,1,0.04325,0.000179563,0.000179563,0.000179563
175,1257.67,0.03618,0.98417,1,0.04241,0.000173375,0.000173375,0.000173375
176,1264.79,0.0369,0.98417,1,0.04432,0.000167188,0.000167188,0.000167188
177,1271.93,0.03547,0.98505,1,0.04634,0.000161,0.000161,0.000161
178,1279.08,0.038,0.98505,1,0.04629,0.000154812,0.000154812,0.000154812
179,1286.26,0.03456,0.98329,1,0.045,0.000148625,0.000148625,0.000148625
180,1293.42,0.04011,0.98153,1,0.04439,0.000142437,0.000142437,0.000142437
181,1300.54,0.03783,0.98417,1,0.04859,0.00013625,0.00013625,0.00013625
182,1307.71,0.02891,0.98505,1,0.04523,0.000130062,0.000130062,0.000130062
183,1314.81,0.0273,0.98329,1,0.04533,0.000123875,0.000123875,0.000123875
184,1321.97,0.02536,0.98417,1,0.04565,0.000117687,0.000117687,0.000117687
185,1329.05,0.02625,0.98593,1,0.04724,0.0001115,0.0001115,0.0001115
186,1336.2,0.03956,0.98417,1,0.04538,0.000105312,0.000105312,0.000105312
187,1343.33,0.03236,0.98329,1,0.04977,9.9125e-05,9.9125e-05,9.9125e-05
188,1350.5,0.02976,0.98153,1,0.04903,9.29375e-05,9.29375e-05,9.29375e-05
189,1357.69,0.02509,0.98241,1,0.04801,8.675e-05,8.675e-05,8.675e-05
190,1364.83,0.02343,0.98417,1,0.04658,8.05625e-05,8.05625e-05,8.05625e-05
191,1392.2,0.03156,0.98329,1,0.04589,7.4375e-05,7.4375e-05,7.4375e-05
192,1399.39,0.02766,0.98065,1,0.04547,6.81875e-05,6.81875e-05,6.81875e-05
193,1406.5,0.02707,0.98153,1,0.04657,6.2e-05,6.2e-05,6.2e-05
194,1413.61,0.02665,0.98241,1,0.04791,5.58125e-05,5.58125e-05,5.58125e-05
195,1420.85,0.02832,0.98153,1,0.04667,4.9625e-05,4.9625e-05,4.9625e-05
196,1428.01,0.02347,0.98065,1,0.04594,4.34375e-05,4.34375e-05,4.34375e-05
197,1435.22,0.02653,0.98065,1,0.04624,3.725e-05,3.725e-05,3.725e-05
198,1442.38,0.02623,0.98153,1,0.04655,3.10625e-05,3.10625e-05,3.10625e-05
199,1449.55,0.02164,0.98153,1,0.0462,2.4875e-05,2.4875e-05,2.4875e-05
200,1456.73,0.02577,0.98153,1,0.04753,1.86875e-05,1.86875e-05,1.86875e-05
