epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
188,1195.53,0.05406,0.98887,1,0.03334,2.53559e-05,2.53559e-05,2.53559e-05
189,1201.84,0.05347,0.98887,1,0.03274,2.34598e-05,2.34598e-05,2.34598e-05
190,1208.13,0.04353,0.98887,1,0.0326,2.17136e-05,2.17136e-05,2.17136e-05
191,1234.94,0.06037,0.98887,1,0.03291,2.01178e-05,2.01178e-05,2.01178e-05
192,1241.3,0.04029,0.98988,1,0.03238,1.86729e-05,1.86729e-05,1.86729e-05
193,1247.62,0.05536,0.98988,1,0.03161,1.7379e-05,1.7379e-05,1.7379e-05
194,1253.96,0.0529,0.98887,1,0.03224,1.62367e-05,1.62367e-05,1.62367e-05
195,1260.28,0.0497,0.98887,1,0.03182,1.5246e-05,1.5246e-05,1.5246e-05
196,1266.63,0.0451,0.98887,1,0.03183,1.44074e-05,1.44074e-05,1.44074e-05
197,1272.98,0.04737,0.98988,1,0.03196,1.3721e-05,1.3721e-05,1.3721e-05
198,1279.28,0.04434,0.98988,1,0.03141,1.31869e-05,1.31869e-05,1.31869e-05
199,1285.63,0.03968,0.98988,1,0.03138,1.28053e-05,1.28053e-05,1.28053e-05
200,1292.12,0.04299,0.98988,1,0.03158,1.25763e-05,1.25763e-05,1.25763e-05
